stop_id,stop_no,bus_stop,latitude,longitude,bus_svc
66,1,Larkin Terminal,1.496456,103.7437466,P101-loop
126,2,Pejabat Daerah Tanah Johor Bahru,1.491850779,103.7408726,P101-loop
135,3,RTM Jabatan Penyiaran Negeri Johor,1.480182318,103.7368168,P101-loop
96,4,Opp Masjid Kolam Ayer,1.468994056,103.736874,P101-loop
91,5,Opp Jabatan Pendidikan Johor,1.467551056,103.7367309,P101-loop
69,6,Maktab Sultan Abu Bakar (English College),1.462746651,103.7396519,P101-loop
49,7,Hospital Sultanah Aminah,1.457574284,103.7467068,P101-loop
58,8,Johor Islamic Complex,1.45674209,103.7493827,P101-loop
20,9,Bangunan Sultan Ibrahim,1.459833627,103.7621607,P101-loop
167,10,Wisma Persekutuan,1.460962056,103.7578251,P101-loop
68,11,Majlis Bandaraya Johor Bahru,1.455598539,103.7617688,P101-loop
57,12,JB Sentral Terminal,1.463569159,103.7649969,P101-loop
73,13,Menara MSC Cyberport,1.462251514,103.7719803,P101-loop
109,14,Opp Sekolah Kebangsaan Perempuan Jalan Yahya Awal,1.472871297,103.7488519,P101-loop
129,15,Petronas Kiosk @ Jalan Yahya Awal,1.475371812,103.7479248,P101-loop
116,16,Opp SJK (T) Jalan Yahya Awal,1.478736857,103.7475312,P101-loop
12,17,aft Jalan Tasek Utara,1.481036154,103.747385,P101-loop
123,18,Opp Yayasan Bandaraya Johor Bahru,1.484349142,103.749253,P101-loop
66,19,Larkin Terminal,1.496456,103.7437466,P101-loop
52,1,Hub PPR Sri Stulang,1.495066779,103.7876649,P102-01
27,2,bef Jalan Sultanah Aminah,1.491854044,103.7852294,P102-01
141,3,Shell Kiosk @ Jalan Pasir Pelangi,1.490657221,103.7858711,P102-01
155,4,Stulang Walk,1.473219176,103.779879,P102-01
39,5,Block 18,1.471254352,103.7811927,P102-01
86,6,Opp De' Stulang,1.469458627,103.7816132,P102-01
112,7,Opp Sekolah Menengah Foon Yew,1.46705997,103.7788835,P102-01
134,8,R&F Mall,1.46041095,103.7694014,P102-01
68,9,Majlis Bandaraya Johor Bahru,1.455598539,103.7617688,P102-01
68,1,Majlis Bandaraya Johor Bahru,1.455598539,103.7617688,P102-02
57,2,JB Sentral Terminal,1.463569159,103.7649969,P102-02
73,3,Menara MSC Cyberport,1.462251514,103.7719803,P102-02
139,4,Sekolah Menengah Foon Yew,1.467619177,103.7792843,P102-02
42,5,De' Stulang,1.46953421,103.7816314,P102-02
90,6,Opp Istana Pasir Pelangi,1.478025648,103.7808711,P102-02
160,7,"The Mall, Mid Valley Southkey",1.50059368,103.7767902,P102-02
8,8,aft Jalan Pasir Pelangi,1.496199955,103.7842124,P102-02
130,9,Petronas Kiosk @ Taman Bayu Puteri,1.497190307,103.7895672,P102-02
103,10,Opp Petronas Kiosk @ Taman Bayu Puteri,1.496884261,103.7894673,P102-02
133,11,PPR Sri Stulang,1.495216174,103.7893029,P102-02
52,12,Hub PPR Sri Stulang,1.495066779,103.7876649,P102-02
52,1,Hub PPR Sri Stulang,1.495066779,103.7876649,P106-loop
8,2,aft Jalan Pasir Pelangi,1.496199955,103.7842124,P106-loop
130,3,Petronas Kiosk @ Taman Bayu Puteri,1.497190307,103.7895672,P106-loop
38,4,BHPetrol Kiosk @ Permas Jaya,1.494201088,103.8129347,P106-loop
1,5,AEON Permas Jaya,1.496085229,103.8196957,P106-loop
43,6,Dewan Serbaguna Permas Jaya,1.497724395,103.824157,P106-loop
74,7,Mon Glori Apartment,1.500135152,103.8221974,P106-loop
81,8,Opp Best Ku Motor,1.5210771,103.8206028,P106-loop
95,9,Opp Kia Motors,1.52631367,103.8166755,P106-loop
26,10,bef Jalan Masai Baru,1.523408186,103.8130061,P106-loop
67,11,Lotus Plentong (Tesco Extra),1.520850394,103.8151239,P106-loop
7,12,aft Jalan Masai Baru,1.523392807,103.8126042,P106-loop
45,13,Giant Plentong,1.527896401,103.8160143,P106-loop
51,14,Hse No. 1 Jalan Seroja 22,1.531047606,103.8145171,P106-loop
93,15,Opp Jalan Keembong 43,1.5333408,103.8057019,P106-loop
56,16,Jalan Seroja 54,1.537075525,103.7999069,P106-loop
53,17,Jalan Bakawali 86,1.53837925,103.7990475,P106-loop
99,18,Opp Pasar Awam Johor Jaya,1.544285406,103.7995218,P106-loop
3,19,AEON Tebrau City,1.551607288,103.7966925,P106-loop
47,20,Hospital Sultan Ismail,1.549961664,103.7903773,P106-loop
48,21,Hospital Sultan Ismail 2,1.546134799,103.7892017,P106-loop
119,22,Opp Suntoyo Enterprise,1.534143544,103.8043343,P106-loop
60,23,Kia Motors,1.526168776,103.8171042,P106-loop
37,24,Best Ku Motor,1.521229195,103.8208051,P106-loop
50,25,House No. 63 Jalan Permas 1/1,1.514826426,103.8182781,P106-loop
55,26,Jalan Permas 5/6,1.503823725,103.8176465,P106-loop
137,27,Sekolah Kebangsaan Taman Permas Jaya 3,1.500186203,103.8204709,P106-loop
124,28,Pan Vista,1.500133528,103.8221986,P106-loop
10,29,aft Jalan Permas 8/14,1.500159911,103.8258834,P106-loop
82,30,Opp BHPetrol Kiosk @ Permas Jaya,1.49388522,103.8131204,P106-loop
34,31,bef Shell Kiosk @ Permas Jaya,1.492394868,103.8049054,P106-loop
103,32,Opp Petronas Kiosk @ Taman Bayu Puteri,1.496884261,103.7894673,P106-loop
133,33,PPR Sri Stulang,1.495216174,103.7893029,P106-loop
